LocationId,Name,ParentId,Level,Active,IsDeleted,IsShow,Code,ParentName,Path
2726009355,Xã Đại Đồng,2726000000,3,1,0,1,xa dai dong,Huyện Tiên Du,root/tinhbacninh/huyentiendu/xadaidong
2726009358,Xã Tri Phương,2726000000,3,1,0,1,xa tri phuong,Huyện Tiên Du,root/tinhbacninh/huyentiendu/xatriphuong
2726009361,Xã Minh Đạo,2726000000,3,1,0,1,xa minh dao,Huyện Tiên Du,root/tinhbacninh/huyentiendu/xaminhdao
2726009364,Xã Cảnh Hưng,2726000000,3,1,0,1,xa canh hung,Huyện Tiên Du,root/tinhbacninh/huyentiendu/xacanhhung
2726100000,Huyện Từ Sơn,2700000000,2,1,0,1,huyen tu son,Tỉnh Bắc Ninh,root/tinhbacninh/huyentuson
2726109367,Thị trấn Từ Sơn,2726100000,3,1,0,1,thi tran tu son,Huyện Từ Sơn,root/tinhbacninh/huyentuson/thitrantuson
2726109370,Xã Tam Sơn,2726100000,3,1,0,1,xa tam son,Huyện Từ Sơn,root/tinhbacninh/huyentuson/xatamson
2726109373,Xã Hương Mạc,2726100000,3,1,0,1,xa huong mac,Huyện Từ Sơn,root/tinhbacninh/huyentuson/xahuongmac
2726109376,Xã Tương Giang,2726100000,3,1,0,1,xa tuong giang,Huyện Từ Sơn,root/tinhbacninh/huyentuson/xatuonggiang
2726109379,Xã Phù Khê,2726100000,3,1,0,1,xa phu khe,Huyện Từ Sơn,root/tinhbacninh/huyentuson/xaphukhe
2726109382,Xã Đồng Quang,2726100000,3,1,0,1,xa dong quang,Huyện Từ Sơn,root/tinhbacninh/huyentuson/xadongquang
2726109385,Xã Đồng Nguyên,2726100000,3,1,0,1,xa dong nguyen,Huyện Từ Sơn,root/tinhbacninh/huyentuson/xadongnguyen
2726109388,Xã Châu Khê,2726100000,3,1,0,1,xa chau khe,Huyện Từ Sơn,root/tinhbacninh/huyentuson/xachaukhe
2726109391,Xã Tân Hồng,2726100000,3,1,0,1,xa tan hong,Huyện Từ Sơn,root/tinhbacninh/huyentuson/xatanhong
2726109394,Xã Đình Bảng,2726100000,3,1,0,1,xa dinh bang,Huyện Từ Sơn,root/tinhbacninh/huyentuson/xadinhbang
2726109397,Xã Phù Chẩn,2726100000,3,1,0,1,xa phu chan,Huyện Từ Sơn,root/tinhbacninh/huyentuson/xaphuchan
2726200000,Huyện Thuận Thành,2700000000,2,1,0,1,huyen thuan thanh,Tỉnh Bắc Ninh,root/tinhbacninh/huyenthuanthanh
2726209400,Thị trấn Hồ,2726200000,3,1,0,1,thi tran ho,Huyện Thuận Thành,root/tinhbacninh/huyenthuanthanh/thitranho
2726209403,Xã Hoài Thượng,2726200000,3,1,0,1,xa hoai thuong,Huyện Thuận Thành,root/tinhbacninh/huyenthuanthanh/xahoaithuong
2726209406,Xã Đại Đồng Thành,2726200000,3,1,0,1,xa dai dong thanh,Huyện Thuận Thành,root/tinhbacninh/huyenthuanthanh/xadaidongthanh
2726209409,Xã Mão Điền,2726200000,3,1,0,1,xa mao dien,Huyện Thuận Thành,root/tinhbacninh/huyenthuanthanh/xamaodien
2726209412,Xã Song Hồ,2726200000,3,1,0,1,xa song ho,Huyện Thuận Thành,root/tinhbacninh/huyenthuanthanh/xasongho
2726209415,Xã Đình Tổ,2726200000,3,1,0,1,xa dinh to,Huyện Thuận Thành,root/tinhbacninh/huyenthuanthanh/xadinhto
2726209418,Xã An Bình,2726200000,3,1,0,1,xa an binh,Huyện Thuận Thành,root/tinhbacninh/huyenthuanthanh/xaanbinh
2726209421,Xã Trí Quả,2726200000,3,1,0,1,xa tri qua,Huyện Thuận Thành,root/tinhbacninh/huyenthuanthanh/xatriqua
2726209424,Xã Gia Đông,2726200000,3,1,0,1,xa gia dong,Huyện Thuận Thành,root/tinhbacninh/huyenthuanthanh/xagiadong
2726209427,Xã Thanh Khương,2726200000,3,1,0,1,xa thanh khuong,Huyện Thuận Thành,root/tinhbacninh/huyenthuanthanh/xathanhkhuong
2726209430,Xã Trạm Lộ,2726200000,3,1,0,1,xa tram lo,Huyện Thuận Thành,root/tinhbacninh/huyenthuanthanh/xatramlo
2726209433,Xã Xuân Lâm,2726200000,3,1,0,1,xa xuan lam,Huyện Thuận Thành,root/tinhbacninh/huyenthuanthanh/xaxuanlam
2726209436,Xã Hà Mãn,2726200000,3,1,0,1,xa ha man,Huyện Thuận Thành,root/tinhbacninh/huyenthuanthanh/xahaman
2726209439,Xã Ngũ Thái,2726200000,3,1,0,1,xa ngu thai,Huyện Thuận Thành,root/tinhbacninh/huyenthuanthanh/xanguthai
2726209442,Xã Nguyệt Đức,2726200000,3,1,0,1,xa nguyet duc,Huyện Thuận Thành,root/tinhbacninh/huyenthuanthanh/xanguyetduc
2726209445,Xã Ninh Xá,2726200000,3,1,0,1,xa ninh xa,Huyện Thuận Thành,root/tinhbacninh/huyenthuanthanh/xaninhxa
2726209448,Xã Nghĩa Đạo,2726200000,3,1,0,1,xa nghia dao,Huyện Thuận Thành,root/tinhbacninh/huyenthuanthanh/xanghiadao
2726209451,Xã Song Liễu,2726200000,3,1,0,1,xa song lieu,Huyện Thuận Thành,root/tinhbacninh/huyenthuanthanh/xasonglieu
2726300000,Huyện Gia Bình,2700000000,2,1,0,1,huyen gia binh,Tỉnh Bắc Ninh,root/tinhbacninh/huyengiabinh
2726309454,Thị trấn Gia Bình,2726300000,3,1,0,1,thi tran gia binh,Huyện Gia Bình,root/tinhbacninh/huyengiabinh/thitrangiabinh
2726309457,Xã Vạn Ninh,2726300000,3,1,0,1,xa van ninh,Huyện Gia Bình,root/tinhbacninh/huyengiabinh/xavanninh
2726309460,Xã Thái Bảo,2726300000,3,1,0,1,xa thai bao,Huyện Gia Bình,root/tinhbacninh/huyengiabinh/xathaibao
2726309463,Xã Giang Sơn,2726300000,3,1,0,1,xa giang son,Huyện Gia Bình,root/tinhbacninh/huyengiabinh/xagiangson
2726309466,Xã Cao Đức,2726300000,3,1,0,1,xa cao duc,Huyện Gia Bình,root/tinhbacninh/huyengiabinh/xacaoduc
2726309469,Xã Đại Lai,2726300000,3,1,0,1,xa dai lai,Huyện Gia Bình,root/tinhbacninh/huyengiabinh/xadailai
2726309472,Xã Song Giang,2726300000,3,1,0,1,xa song giang,Huyện Gia Bình,root/tinhbacninh/huyengiabinh/xasonggiang
2726309475,Xã Bình Dương,2726300000,3,1,0,1,xa binh duong,Huyện Gia Bình,root/tinhbacninh/huyengiabinh/xabinhduong
2726309478,Xã Lãng Ngâm,2726300000,3,1,0,1,xa lang ngam,Huyện Gia Bình,root/tinhbacninh/huyengiabinh/xalangngam
2726309481,Xã Nhân Thắng,2726300000,3,1,0,1,xa nhan thang,Huyện Gia Bình,root/tinhbacninh/huyengiabinh/xanhanthang
2726309484,Xã Xuân Lai,2726300000,3,1,0,1,xa xuan lai,Huyện Gia Bình,root/tinhbacninh/huyengiabinh/xaxuanlai
2726309487,Xã Đông Cứu,2726300000,3,1,0,1,xa dong cuu,Huyện Gia Bình,root/tinhbacninh/huyengiabinh/xadongcuu
2726309490,Xã Đại Bái,2726300000,3,1,0,1,xa dai bai,Huyện Gia Bình,root/tinhbacninh/huyengiabinh/xadaibai
